location,id_str,date,preprocessed_text,predicted_emotion,anger,fear,joy,sadness
de,"tag:search.twitter.com,2005:1658680238514028544",5/17/2023,RT @itselioc: Unas ganas de perderme 3 días en la playa.,others,0.0024209071416407824,0.00032052493770606816,0.0012044538743793964,0.0005603699828498065
de,"tag:search.twitter.com,2005:1658671393955803139",5/17/2023,"RT @youfavlovaa: Tenía miedo de perder a alguien, pero me di cuenta que perderse a uno mismo es mucho peor.",sadness,0.000731512438505888,0.9726354479789734,0.006053282879292965,0.9964106678962708
de,"tag:search.twitter.com,2005:1658661353668632579",5/17/2023,RT @AlvaroUribeVel: Sobre las declaraciones de Salvatore Mancuso https://t.co/G6JNpTcS9a,others,0.00997235905379057,0.09294591844081879,0.018413977697491646,0.08399288356304169
de,"tag:search.twitter.com,2005:1658649461109952512",5/17/2023,RT @EIJefeDiego: Vergüenza es lo que siento cuando el presidente de mi país intercede por asesinos de otros países. Como si no tuviéramos s…,sadness,0.05965442210435867,0.0018063430907204747,0.004010179080069065,0.8996416926383972
de,"tag:search.twitter.com,2005:1658646965511487488",5/17/2023,"RT @MichelleColin_: ESTAR MÁS

📷 de calpippilota https://t.co/cOV4rlsily",others,0.09164529293775558,0.00023792139836587012,0.032782528549432755,0.8007766008377075
de,"tag:search.twitter.com,2005:1658641192878317568",5/17/2023,@TyCSports Lautaro campeón de la champions,joy,0.04047985374927521,0.000406625826144591,0.9395046830177307,0.04398062825202942
de,"tag:search.twitter.com,2005:1658661309171236864",5/17/2023,RT @kari_ok6: Odio esta edad donde empiezas a tener gastos de adulto pero no tienes ingresos de adulto.,anger,0.99456787109375,0.0007327292114496231,0.0022328472696244717,0.3140801787376404
de,"tag:search.twitter.com,2005:1658669359722557440",5/17/2023,RT @mamachi23: Por favor de Carimi,others,0.02733064815402031,0.0002859262749552727,0.0367463156580925,0.01582643948495388
de,"tag:search.twitter.com,2005:1658660248855494656",5/17/2023,RT @JotaYoutube17: Si en la peli de FNAF el hombre morado no llega a tener la piel morada me voy del cine https://t.co/aXArKSnjDY,others,0.7518793940544128,0.0003486072237137705,0.01905066892504692,0.0020365200471132994
de,"tag:search.twitter.com,2005:1658681775701344257",5/17/2023,RT @cristinapapinm: El PP lleva en sus listas de Galicia a un condenado por maltrato con una orden de alejamiento en vigor. https://t.co/MU…,others,0.03959202766418457,0.0005093826912343502,0.006341917440295219,0.008290798403322697
de,"tag:search.twitter.com,2005:1658638530774441984",5/17/2023,"@rinconet Acabo de servirme un vino, y me sente en el patio desolada!",sadness,0.4732207953929901,0.0009118079906329513,0.005160210188478231,0.8990709781646729
de,"tag:search.twitter.com,2005:1658647696583065600",5/17/2023,RT @Jamesmartt001: CHIQUILLO FUTBOLISTA🐣😈⚽️ Me invitaron a un Juego de fútbol de hermosos Pollitos🐣💦🍆 y miren a quien termine convenciendo…,joy,0.3776680827140808,0.0005101357819512486,0.985051155090332,0.0014160735299810767
de,"tag:search.twitter.com,2005:1658631790498811904",5/17/2023,¿Qué se hace con las ganas de casarse consigo misma?,others,0.6501818895339966,0.0035082276444882154,0.002881179563701153,0.06466398388147354
de,"tag:search.twitter.com,2005:1658637311465213954",5/17/2023,RT @jotaalonso: El estudio de Rosenkrantz defendió a Santa Fe por un juicio de coparticipación y fondos del Anses. Gil Lavedra y su ex muje…,others,0.02632049471139908,0.00042625927017070353,0.012314749881625175,0.050925422459840775
Fusagasugá,"tag:search.twitter.com,2005:1658670401176698880",5/17/2023,"RT @MONYRODRIGUEZOF: Absurdo que al agresor le hayan dado casa por cárcel. Ahora, una mujer en Fusagasugá quedará expuesta y en peligro gra…",anger,0.9930106997489929,0.003927499521523714,0.0021619154140353203,0.0016605763230472803
de,"tag:search.twitter.com,2005:1658648031300837376",5/17/2023,"RT @alters0ul: en lo personal, el tiempo de calidad es mi love language más fuerte, y si este no es satisfecho, permaneciendo faltante cons…",others,0.46226537227630615,0.0002718024479690939,0.2523755431175232,0.02340053766965866
de,"tag:search.twitter.com,2005:1658636624861839362",5/17/2023,RT @AsambleaCNCTL: PA' FUERA | 📹 | #15Mayo | Trabajadores de SIDOR sacaron a empujones a los sindicalistas gobierneros. El rechazo a los es…,others,0.7874866127967834,0.000780161120928824,0.04000362381339073,0.030501797795295715
de,"tag:search.twitter.com,2005:1658656906016178177",5/17/2023,"RT @VTVcanal8: #EnVideo📹| Sucre | Familias del sector Cruz Salmerón Acosta son favorecidas con Feria del Campo Soberano

#LeerDescoloniza…",others,0.0035502477549016476,0.0007318715215660632,0.20538488030433655,0.011357836425304413
de,"tag:search.twitter.com,2005:1658642635290968066",5/17/2023,"RT @EcuadorPlay: 🗣 El Periodista, Martín Pallares, asegura que existen supuestos ofrecimientos de cargos en empresas públicas por parte del…",others,0.81642746925354,0.0006839206907898188,0.01191521342843771,0.004030410200357437
de,"tag:search.twitter.com,2005:1658681521966858240",5/17/2023,"RT @golandpop: 🌟🔵⚫️ ¡#INTER FINALISTA DE LA #UCL! Con un Lautaro Martínez 🇦🇷como figura y autor del gol, el Inter venció 1-0 al #Milan (Glo…",joy,0.011477249674499035,0.00038880895590409636,0.9573906660079956,0.04974239319562912
de,"tag:search.twitter.com,2005:1658679805250793472",5/17/2023,"RT @vitoquiles: 🔴 #ÚLTIMAHORA | Ada Colau denuncia al líder de Desokupa, Daniel Esteve, ante la Fiscalía por “discursos de odio contra los…",others,0.11321869492530823,0.0005205616471357644,0.10463786125183105,0.02482081577181816
de,"tag:search.twitter.com,2005:1658672085605163008",5/17/2023,"RT @LisaParaguay_: ⇣2023.05.16⇣

@mtv vía Instagram con LISA:

 "" Por primera vez como gerente de redes sociales de MTV, estoy SIN PALABRAS…",sadness,0.0023688292130827904,0.0005164445610716939,0.2299605906009674,0.9652377367019653
